Review,Actual Label,Predicted Label
"Presque 1 mois après la commande, le produit n’est toujours pas arrivé! Dans l’attente, je trouve cela vraiment honteux!",negative,negative
"Pas adapté au boîtier, il flotte dedans.",negative,negative
J ai acheté sur le bon coin cet aspirateur qui avait été à peine utilisé. Le filtre s allumait rouge des ma première utilisation J ai donc commandé un nouveau filtre et le voyant s allume rouge aussi Cet aspirateur n a aucune puissance Je déconseille l achat,negative,negative
Le chargeur charge puis ne charge plus puis recharge et ne recharge plus en boucle. Il a marché pendant 2 semaines.,negative,negative
"Au bout de trois semaines - et je ne le passe pas souvent -, l'aspirateur recrache la saleté, même lorsqu'il est bien vidé, et la brosse rotative ne tourne plus. Il n'aspire plus rien, sinon à me casser les couilles.",negative,negative
"Avec deux personnes, j'ai trouvé cet achat impossible á construire - il a tombé à morceaux parce que les accroches n'ont resté pas en position. Très decu.",negative,negative
"Produit très très fragile. Le skate s'est cassé au bout de 3 jours d'utilisation...sur des coussins! Vraiment déçue, encore plus pour mon fils. Et le pire, ce n'est pas possible d'écrire au vendeur ou demandée un échange. J'espère qu'il me lira et fera un geste commercial. Je reste dans l'attente d'une réaction.",negative,negative
Pour un studio de 20 mètres carrés Pas assez d'aspiration trop bruyant Je ne recommande pas ce produit,negative,negative
"Difficile à nettoyer. Si difficile que même lorsque vous pensez avoir bien séché le dome, vous vous retrouvez avec de la buée, et c'est assez déplaisant de voir ça en plein milieu de l'océan. Je ne l'ai utilisé qu'une fois et je l'utiliserai plus. Quel dommage.",negative,negative
Produit envoyé Sans emballage! L'étiquette destinataire a été collée directement sur la boite du lecteur! Outre un manque de protection certain mon fils a pu voir son cadeau avant son anniversaire. Surprise gâchée. Quel manque de sérieux / professionnalisme! Je suis extrêmement déçue et je m'attends à des problèmes avec cet appareil qui a du recevoir des chocs lors du transport.,negative,negative
Produit qui n'est pas de qualité. Les mèches se consumment très rapidement,negative,negative
"Je suis déçu de cette pierre d'alun : - cette pierre est très petite - elle se décompose déjà après 3 semaines d'utilisation, car d'un côté la pierre n'était pas poli donc l'eau ruisselle dedans. donc peu rentable car il faut que j'en rachète une.",negative,negative
"y'en a pour son argent, des miroirs se décollent après 1 utilisation. Flemme de le retourner.",negative,negative
"Bon dentifrice comme les autres, ne fait pas de miracles mais... a ne reste qu'un dentifrice...",negative,negative
Reçu avec des rayures sur le devant Très déçu un peu cher je trouve,negative,negative
Chaise cassée à la réception.,negative,negative
Très décevant ne correspond pas au produit décrit. La trousse est vide sans aucun produit,negative,negative
Le joy stick ne fonctionne pas correctement (4 mois apres l'achat). Je l'utilise rarement car je préfère le mode 'handheld' mais j'aimerais quand même qu'un produit acheté à plus de 80€ marche bien. Aucun service apres vente. J'ai perdu mon argent.,negative,negative
pour moi de ce coussin qui malgré la télécommande n'est pas pratique du tout. Le massage n'est pas agréable et produit finalement l'effet contraire à sa fonction : aucune détente et toujours les douleurs cervicales.,negative,negative
Dangereux tres très dangereux enfants peu s étrangler tellement le fil s étire,negative,negative
"Bonjour, En fait, j’ai un probleme avec cette commande. Certaines pieces manquent. Je vous joins la photo du système après montage. Les 2 pieces bleues en plastique a fixer aux extrémités des bras tournants n’ont pas été livrees dans le colis. Pourriez vous me les faire parvenir. Salutations. Loic Menez",negative,negative
"pas destinataire du produit, mais cadeau. donc pas d' opinion sur la solidité, l' opinion de l' enfant.... les parents étaient contents, mais sans plus.",negative,negative
Six boules dans la tambour avec du linge qui avait des poils de chats : aucun poil sur les boules!,negative,negative
Pas adapté pour mon fitbit 2,negative,negative
Une vraie merde la pose. Impossible d'enlever correctement les films protecteurs car ils sont plus épais que le film lui-même. Puis c'est trop fin ça colle pas,negative,negative
Dvd abîmé comme déjà utilisé lecture très difficile,negative,negative
Après même pas un mois la battrie a commencé a ne plus marcher et puis la qualité du son avait un défaut très bizarre selon la musique,negative,negative
Jamais reçu le produit commander et jamais remboursé non Plus. J'ai pourtant vérifier les infos renseigner sur moi et mon adresse c'est la bonne adresse tout....  fuir je recommande pas,negative,negative
La taille n'est pas du tout la bonne! il y a au moins 3 taille de différences entre celle écrite et la réalité. Très décue,negative,negative
"J'ai eu la bonne chance que qui l'a ouvert a vu que ce n'est pas l'objet qui l'avait commande et, regardant le nom a qui a été adressé le colis, il m'a reconnu et il me la livré.",negative,negative
Jamais rien reçu j attend toujour mon Coli qui doit sûrement être dans la nature. J ai été rembourser uniquement des frais de transport.,negative,negative
Produit hs au bout de quelques mois.....a évité,negative,negative
N'a fonctionne que 1 mois,negative,negative
J'attends mon bavoir depuis des semaines. e viens de m'apercevoir qu'ils avaient été soi disant livrés ensemble. Il y a un oubli et je ne peux pas contacter le service amazone. Merci de m'aider à trouver une solution.,negative,negative
Super fragile les 3 boules ont cassés juste en dévissant les boules. a m'a casser entre les doigts très déçue.......,negative,negative
"Je pensais redonner vie à mon Stylo à bille Montblanc et je pensais ne rien risquer en prenant des recharges de la marque. Il s'avère qu'à peine mises, elles ne sont nullement capables de suivre une écriture ""rapide"" sans avoir des ratés. Ne pensez même pas faire une signature avec.",negative,negative
La prise est cassé et impossible de la brancher sur ma télé.,negative,negative
Déçue il n'a pas été livré avec une boîte. Livré dans un seul sachet transparent. Ce n'est pas comme dans la description.,negative,negative
La sécurité qui retenait mon chien de 20 kilos a lâché au 1er coup de frein.,negative,negative
"Très mécontente, shampooing avec sulfates contrairement à ce qui est annoncé. Le vendeur a collé une étiquette sur la composition c est malhonnête. J ai renvoyé le produit",negative,negative
"le produit sent très bon mais crée de la distension abdominale, ne le prenez pas en cas de côlon irritable avec constipation chronique ça ne marche pas",negative,negative
Les crayons coulent dans ma main c est affreux pour en mettre je dois l enrouler dans du papier essuie tout je ne comprends pas ce qui se passe jamais vu ça,negative,negative
1 étoile pour le produit car J'ai bien reçu ma commande et il n'y avait qu'un seul masque (alors que noté 2 pièces) mais 5 étoiles pour Amazon qui m'a résolu le problème,negative,negative
"N'est pas flexible, pas pratique",negative,negative
"Je n'ai toujours pas lu ce livre. Commandé et payé, il ne m'a pas été livré à mon domicile. Quinze jours après la date de livraison annoncée, il n'était pas non plus arrivé dans l'un des points relais prévus en cas d'échec de la livraison à domicile. Cela me fait hésiter à passer de nouvelles commandes plus importantes à Amazon. Et c'est plutôt inquiétant quant à la fiabilité de leur système de livraison",negative,negative
0 grossissement. Article à éviter à tout prix!,negative,negative
Produit non semblable à la commande et un panneau ayant les attaches cassées,negative,negative
premier cadenas coupé avec une pince impossible d'ouvrir le deuxieme.,negative,negative
reçu et planter comme cela doit être fait aucun résultat attendre si longent pour ce resultat c'est une honte de vendre des produit comme ça,negative,negative
il n'a pas fonctionné et on est obligé d'avoir un ordinateur pour le faire fonctionner quand cela fonctionne ;;;;;;;;;;;;;; ;;;;;,negative,negative
"Madame, Monsieur, Le 13 Mai 2019, vous m'envoyez un mail pour m'informer que le harnais chaise haute sera livré dans la journée... Dans la recherche ""où est ma commande"", vous indiqué que le produit est livré et déposé dans la boîte à lettre!!!! A ce jour : je n'ai Rien Reçu!!! Voulez-vous me dire quelque chose? Merci, Jean-Simon PEREZ",negative,negative
Ne fonctionne plus après une 1 ère utilisation. Pas de notice en français. Déjà au déballage cet article ne semble pas qualitatif. Il y a mieux à acheter.,negative,negative
Acheté 34 euros j’ai demandé un remboursement ( fait) car mon iPhone X avec la coque silicone Apple ne tient pas du tout! Sans la coque ça tenait mieux.je déconseille ce produit. Dommage car le concept est sympa.,negative,negative
la qualité des sous-titres quand les dialogues sont en espagnol est vraiment mauvaise: un mot de temps en temps..... très dommage car cette série est super et j'ai vraiment l'impression de passer à coté!,negative,negative
Produit non reçu demande de revoie ou remboursement. Le carton Amazon ne contenait pas ces deux articles. Merci d'avance. Mr Salomon,negative,negative
"Collier qui fonctionne au début, mais la charge ne tient pas très longtemps et pire encore la batterie ne se recharge plus après quelques jours d'utilisation. Produit renvoyé.",negative,negative
Fonctionne correctement 1 fois sur 2 comme l'application préconiser avec la notice qui ne détecte la led qu'une fois sur 5,negative,negative
Produit que je ne recommande pas du tout mon allume cigare a grillé dès la première utilisation sans endommagé le produit,negative,negative
"Produit conforme à la description mais ne merite pas le nom de « friteuse ».Frites maison sèches, on a l’impression de manger du carton. Ca ne vaut pas la friture traditionnelle, je regrette cet achat.",negative,negative
Si vous voulez abîmés les ongles de votre cliente c'est ce qu'il vois faut.,negative,negative
Aspire oui mais enlève rien du tout je commande pas du tout,negative,negative
"Très déçue, les deux paquets sont ouverts et abîmes. Je ne pourrais pas m'en servir ils sont quasiment tous cassés",negative,negative
"Bonjour. Tout d'abord, le colis était abîmé (sûrement transpercé très discretement par un corps étranger à mon paquet.) Je sais ni ce qu'il s'est passé lors de la livraison ou autre, en revanche je monte mon lcd sur mon samsung galaxy j5 2017, la vitre était cassé au dessus de la bande son pour les appels téléphoniques, ainsi que tout ce que vous pouvez apercevoir sur la photo jointe à ce commentaire. Suite à cela, je ne vise personne comme étant fautif, je réclame uniquement un geste commercial de votre part pour l'attente de 15 jours pour un produit dans un tel état. A savoir, un remboursement, ou bien un autre produit dans un état irréprochable de celui-ci. Cordialement, à bientôt.",negative,negative
"Très déçus j'ai la prise (alimentation electrique) qui doit avoir du jeu à l'intérieur parce que ça coupe sans cesse obligé de mettre du scotch pour ""caler"" la prise mais solution que provisoire la moindre vibration sur le bureau coupe l'alimentation. Acheter y a pas longtemps cela doit être sous garantie???",negative,negative
"se connecte 1fois sur 2, il y a comme un faux contact dans les broches. Donc poubelle.",negative,negative
"Ma note porte sur la livraison, mon livre neuf est arrivée abîmé car emballé dans une enveloppe à bulle!",negative,negative
Apres deux semaines d'utilisation ne fonctionne plus... Très deçu,negative,negative
Ne marche plus 3 mois après déjà malgré une utilisation peu régulière,negative,negative
"Je les ai mises en charge, mises dans ma manette et ça a tenu 2 minutes, idem avec la deuxième. Très déçu. Livré en retard en plus",negative,negative
"Comme pour certains, le code 3 mois gratuits ne passent pas - « déjà utilisé «, mais pas par moi.. En attente du retour d’Amazon, et en espérant que leur support sera au niveau.",negative,negative
