Review,Actual Label,Predicted Label
"Pas adapté au boîtier, il flotte dedans.",negative,neutral
Pour un studio de 20 mètres carrés Pas assez d'aspiration trop bruyant Je ne recommande pas ce produit,negative,neutral
Produit envoyé Sans emballage! L'étiquette destinataire a été collée directement sur la boite du lecteur! Outre un manque de protection certain mon fils a pu voir son cadeau avant son anniversaire. Surprise gâchée. Quel manque de sérieux / professionnalisme! Je suis extrêmement déçue et je m'attends à des problèmes avec cet appareil qui a du recevoir des chocs lors du transport.,negative,positive
"Bon dentifrice comme les autres, ne fait pas de miracles mais... a ne reste qu'un dentifrice...",negative,neutral
Très décevant ne correspond pas au produit décrit. La trousse est vide sans aucun produit,negative,neutral
Six boules dans la tambour avec du linge qui avait des poils de chats : aucun poil sur les boules!,negative,neutral
Une vraie merde la pose. Impossible d'enlever correctement les films protecteurs car ils sont plus épais que le film lui-même. Puis c'est trop fin ça colle pas,negative,neutral
Dvd abîmé comme déjà utilisé lecture très difficile,negative,neutral
Jamais rien reçu j attend toujour mon Coli qui doit sûrement être dans la nature. J ai été rembourser uniquement des frais de transport.,negative,neutral
Bonjour. Manque une sangle et une autre abimer. Sinon bon produit mais ne tien pas a cause des sangles. Dommage.,negative,neutral
Produit hs au bout de quelques mois.....a évité,negative,positive
N'a fonctionne que 1 mois,negative,neutral
Super fragile les 3 boules ont cassés juste en dévissant les boules. a m'a casser entre les doigts très déçue.......,negative,neutral
"Très mécontente, shampooing avec sulfates contrairement à ce qui est annoncé. Le vendeur a collé une étiquette sur la composition c est malhonnête. J ai renvoyé le produit",negative,neutral
"N'est pas flexible, pas pratique",negative,neutral
Scandaleux d'oser envoyer des anneaux de cette qualité. Ils sentent le moisi et on voit la pourriture dessus. Alors que c'est un article pour bébé! Jamais je ne donnerai ça à un bébé!!! Et je vais bien vite renvoyer la marchandise! Je déconseille fortement d'acheter ce produit!,negative,positive
Produit non reçu demande de revoie ou remboursement. Le carton Amazon ne contenait pas ces deux articles. Merci d'avance. Mr Salomon,negative,positive
Produit que je ne recommande pas du tout mon allume cigare a grillé dès la première utilisation sans endommagé le produit,negative,neutral
Si vous voulez abîmés les ongles de votre cliente c'est ce qu'il vois faut.,negative,neutral
"Très déçus j'ai la prise (alimentation electrique) qui doit avoir du jeu à l'intérieur parce que ça coupe sans cesse obligé de mettre du scotch pour ""caler"" la prise mais solution que provisoire la moindre vibration sur le bureau coupe l'alimentation. Acheter y a pas longtemps cela doit être sous garantie???",negative,neutral
"se connecte 1fois sur 2, il y a comme un faux contact dans les broches. Donc poubelle.",negative,neutral
Apres deux semaines d'utilisation ne fonctionne plus... Très deçu,negative,neutral
Déjà cassée! De la grosse daube... Très fragile. Je déconseille... Déjà pour soutenir un gros téléphone c'est limite si ça tient mais alors là c'est carrément cassé...,negative,neutral
"Le livre musical est certes joli, toutes les chansons ne fonctionnent pas. Notamment la 1ère qui n'a fonctionné qu'une seule fois. Quelle déception!",negative,neutral
Super matière mais la fermeture a céder au bout de 2jours,negative,neutral
"Je n'est jamais réussi à monter ce kit, et pourtant c'est pas faute d'avoir essayer....",negative,neutral
bonjour le produit que j'ai commandé ne correspond pas a ma commande,negative,neutral
Déçu de ce produit je l aussi reçu sans incomplet sans le colier,negative,neutral
Le produit est arrivé cassé. Meme pas pris le soin de bien l emballer. Je ne suis pas contente du tout,negative,neutral
"Très déçu, reçu cassé malgré qu'il soit emballé dans du papiers bulle et 2 cartons Dommage",negative,neutral
"Produit arrivé cassé, attache inexistante à l'intérieur",negative,neutral
Lange non agréable à toucher. Inutilisable après 1 lavage en machine à 30°C,negative,neutral
Les crêpes Colle déçu en vue du prix,negative,neutral
"Utilisé pour faire égoutté des fromages, la grille rouille direct... On se demande où ils ont vu de l inox!! Très déçu, un produit inutilisable pour ma part!",negative,neutral
"3 lacets cassés au bout de trois jours. Certains sont trop petits et d'autres trop grands, en fonction de l'endroit où on les place (en bas ou en haut du pied). A ne pas acheter.",negative,neutral
Colle sur ecran et sensibilité impactée Très déçu Je ne recommande pas cette article,negative,neutral
L'étiquette est ecrit uniquement en chinois. J'ai un doute donc si le produit a été certifié pour la vente sur le marché europeen. Je ne suis pas sur de l'utiliser pour mon enfant.,negative,neutral
IL NE FONCTIONNE PAS!!!!!!!!!!,negative,positive
c'est très nul sa ce casse en 2 semaine,negative,neutral
Effectivement ce truc ne sert absolument à rien. Je ne recommande pas ce produit. A éviter,negative,neutral
Produit que je n'ai reçu alors qu'il avait écrit livré et déposé dans la boîte aux lettres. Amazon m'à rembourser la globalité.,negative,positive
"Colis reçu avant le temps imparti, c’est le point positif de cet achat. Le gros bémol c’est que je l’ai reçu endommagé le bouchon d’une des bouteilles étant cassé le produit c’est déversé dans le colis rendant le lissage inutilisable. Dommage j’ai contacté le sav, affaire à suivre je vous tiens au jus!",negative,neutral
Tombé au bout d'un semaine. L'écran tactile ne répondait pas parfaitement.,negative,neutral
Pour laver la vaisselle très déçue car 6 sur 12 étaient cassés!,negative,neutral
"J'avais deja fait remplacer le 1er, et rebelote retour a l'envoyeur encore une fois, l'enceinte fuit, il y a du liquide partout, du coup sans liquide pas de jet!!! Quid de l'utilité!!! Vraiment très déçu par ce produit.",negative,neutral
"C'est le premier article que je commande et qui me déçoit. la qualité n'est pas terrible, les finitions de même la partie du dessous est également visible sur les bords du tapis. déçu de mon achat",negative,neutral
"Acheté en Juillet 2018, ne charge qu'a 45% en mais 2019 :)",negative,neutral
"J'avais commandé cette blouse pour les cours de physique-chimie de mon fils où il fallait une blouse en coton, mais cette blouse n'est pas en coton!! Et pour que nous ne portions pas de réclamation, cette blouse ne possède aucune étiquette de composition!",negative,neutral
"Arnaque, la médaille est arrivée non gravée!",negative,neutral
"Le colis est arrivé vide. Merci à Amazon de me recontacter, ou de contacter le livreur.",negative,positive
Comment voulez vous que j’évalue la marchandise de ses gants alors que vous m’avez prélevé et j’ai jamis reçu les gants!!!!,negative,positive
"après avoir bien respecter les consigne d’installation. Spa percé après deux jours d'utilisation, service après vente ne croyant pas cela mais nous en renvois un autre mais avec quand même 25 € de livraison. Une arnaque!!!",negative,neutral
"plutot inutile et génant, ne tient pas à la bague",negative,neutral
J'ai eu des problèmes avec cet article. Très déçue. J'ai plusieurs choses de la même marque et aucun soucis pourtant. Ne conviendra pas à tout le monde je pense.,negative,neutral
